"Suburb","Mains","Gas","Paraffin","Wood","Solar","Coal","Other","None"
"Athlone",54.7693966389371,44.7252310654852,0,0,0,0,0,0.505372295577776
"Atlantis",72.9763495024169,24.1615369964522,0,0.0694120304696436,0,0,2.79270147066126,0
"Beacon Valley",73.9509158163446,26.0490841836553,0,0,0,0,0,0
"Belhar",94.4936074827495,4.01091714719158,0,0,0,0,1.49547537005892,0
"Bellville",71.4902333145919,21.8349433737313,0,0,6.67482331167673,0,0,0
"Bellville Park",93.9393939393939,6.06060606060606,0,0,0,0,0,0
"Bellville South",91.9638001223406,8.03619987765938,0,0,0,0,0,0
"Bergvliet/Meadowridge",90.8198765118422,9.18012348815778,0,0,0,0,0,0
"Bishop Lavis",91.4437493839956,8.55625061600436,0,0,0,0,0,0
"Bishopscourt/Constantia",58.4742356539153,37.2558898407334,0,0,4.26987450535135,0,0,0
"Blackheath",81.7938180718319,15.9690220849544,0,0.751543054208289,0,0,0,1.48561678900546
"Bloekombos",95.3134715817054,4.68652841829459,0,0,0,0,0,0
"Bloubergstrand/Table View",71.084531444752,28.2507782700444,0,0,0.664690285203508,0,0,0
"Blue Downs",84.8475938033253,14.7847832942626,0,0.183811451206046,0,0,0,0.183811451206046
"Bonteheuwel",93.8232195384695,6.17678046153044,0,0,0,0,0,0
"Bothasig",82.7067911682336,17.2932088317664,0,0,0,0,0,0
"Brackenfell",80.2646666379696,19.7353333620304,0,0,0,0,0,0
"Brooklyn/Rugby",82.9414132140129,17.0585867859871,0,0,0,0,0,0
"Browns Farms/Samora Machel",93.7506304106908,6.24936958930923,0,0,0,0,0,0
"Camps Bay/Clifton",78.2314338941159,21.768566105884,0,0,0,0,0,0
"Cape Town CBD",94.5584967637689,5.44150323623107,0,0,0,0,0,0
"Cape Town Farms",54.0990045378517,24.9519787908364,0.824360119097317,17.4739217796126,0,1.32536738630095,1.32536738630095,0
"Capri",51.219512195122,43.9024390243902,0,0,2.4390243902439,0,2.4390243902439,0
"Capricorn/Muizenberg",79.4467561092617,20.5532438907383,0,0,0,0,0,0
"Claremont/Kenilworth",82.5715621394185,17.4284378605815,0,0,0,0,0,0
"Clovelly",70.5882352941177,26.4705882352941,0,0,2.94117647058824,0,0,0
"Coniston Park/Sheraton Park",59.4600440776128,39.1110756908253,0,0,0,0,1.42888023156188,0
"Crossroads/New Crossroads/Nyanga",89.0891113585681,10.9108886414319,0,0,0,0,0,0
"Da Gama Park",68.1925960347318,31.8074039652682,0,0,0,0,0,0
"De Waterkant/Green Point/Sea Point",91.6442520824533,8.35574791754667,0,0,0,0,0,0
"Delft",82.1501706781072,16.7054141207465,0,0,0,0,1.14441520114626,0
"Delft Northeast",80.3968275763649,17.15481405162,0,0,0,0,0,2.44835837201518
"Delft South",83.9841553342115,10.249886070389,5.76595859539951,0,0,0,0,0
"Diep River/Plumstead",77.8457405282664,22.1542594717336,0,0,0,0,0,0
"Doornbach",32.5821318217593,60.9014418138888,2.17214212145062,2.17214212145062,2.17214212145062,0,0,0
"Dreyersdal",60.9756097560976,39.0243902439024,0,0,0,0,0,0
"Dunoon",80.7410144073412,15.6251759505683,2.15137490530471,0,1.48243473678577,0,0,0
"Durbanville",80.951909754367,19.048090245633,0,0,0,0,0,0
"Eastridge",63.1291048297202,36.8708951702798,0,0,0,0,0,0
"Edgemead",90.6976744186047,9.30232558139535,0,0,0,0,0,0
"Eersterivier",73.0153599805003,8.77690388408926,1.78271646773851,10.235251548062,0,0,6.18976811960991,0
"Elsies River",85.0737406143998,12.9641692299267,0,1.79417744731851,0.167912708354954,0,0,0
"Endlovini/Enkanini",60.4480655356203,33.8725897879085,3.385848481378,0,0,0,0,2.2934961950932
"Eversdal",73.546502468313,26.453497531687,0,0,0,0,0,0
"Eyethu/Khaya",87.8106339766559,9.24146115457732,2.94790486876679,0,0,0,0,0
"Fairways",84.2154286106595,15.7845713893405,0,0,0,0,0,0
"Firgrove",82.4693900683219,17.5306099316781,0,0,0,0,0,0
"Firgrove Rural",95.8333333333333,4.16666666666667,0,0,0,0,0,0
"Fisantekraal",97.7940616018153,2.20593839818466,0,0,0,0,0,0
"Fish Hoek",68.9754104506316,28.3591086994995,0,0,0,0,0,2.66548084986892
"Freedom Park Airport",2.85714285714286,40,11.4285714285714,8.57142857142857,34.2857142857143,0,2.85714285714286,0
"Gardens",92.6829268292683,7.31707317073171,0,0,0,0,0,0
"Glencairn",67.493783888949,32.506216111051,0,0,0,0,0,0
"Goodwood",98.8660850459391,1.13391495406091,0,0,0,0,0,0
"Gordons Bay",75.4585522120041,24.5414477879959,0,0,0,0,0,0
"Grassy Park",44.6764266707278,52.6847445297595,0,0,0,0,0,2.63882879951266
"Gugulethu",90.2445823075717,7.69862016585585,2.05679752657241,0,0,0,0,0
"Hanover Park",81.1415764359333,18.8584235640667,0,0,0,0,0,0
"Harare",93.2900423360239,3.43308524444998,1.63843620976305,0,0,0,0,1.63843620976305
"Hazendal/Silvertown",62.4255375778564,37.1475478433907,0,0.426914578752817,0,0,0,0
"Heathfield/Southfield",77.0829482849611,22.9170517150389,0,0,0,0,0,0
"Heideveld",74.8688844917127,25.1311155082873,0,0,0,0,0,0
"Hout Bay",58.0264825123363,41.9735174876637,0,0,0,0,0,0
"Ilitha Park",93.0934406379987,6.90655936200128,0,0,0,0,0,0
"Imizamo Yethu",85.7740910277748,14.2259089722252,0,0,0,0,0,0
"Joe Slovo Park",81.434516302246,18.565483697754,0,0,0,0,0,0
"Kalk Bay/St James",76.3922274369682,23.6077725630319,0,0,0,0,0,0
"Kenridge/Welgemoed",59.2060177288369,37.6234273357362,0,0,3.17055493542686,0,0,0
"Kensington",85.8648796061794,14.1351203938206,0,0,0,0,0,0
"Kirstenhof",80.9523809523809,19.047619047619,0,0,0,0,0,0
"Klipheuwel",85.8677734948082,11.3057812041534,0,2.82644530103836,0,0,0,0
"Knole Park",48.3794027445117,39.5319120004048,9.06651394131264,3.02217131377088,0,0,0,0
"Kommetjie/Scarborough",42.5051955474734,56.6004529749507,0,0,0,0,0.894351477575855,0
"Kosovo",97.7272727272727,2.27272727272727,0,0,0,0,0,0
"Kraaifontein",75.4844797774589,21.900082320507,0,0,1.19584435378038,0,0,1.41959354825366
"Kraaifontein East",23.8915888575799,69.7660435472184,6.34236759520167,0,0,0,0,0
"Kuils River",72.2138802211516,27.288860411576,0,0.497259367272462,0,0,0,0
